id,input,output,label
47,"The London-based telecoms provider said that it alerted police after carrying out a data security review.
However, a spokeswoman stressed that it had seen no evidence that the suspects had been involved with a high-profile cyber-breach last October.
Nearly 157,000 of TalkTalk customers' details, including bank account numbers, were stolen in the breach.
The unnamed suspects do not work for TalkTalk directly but are instead employed by Wipro, a local call centre provider, in Kolkata (Calcutta).
""Following the October 2015 cyber-attack, we have been conducting a forensic review to ensure that all aspects of our security are as robust as possible - including that of our suppliers,"" the company said.
""Acting on information supplied by TalkTalk, the local police have arrested three individuals who have breached our policies and the terms of our contract with Wipro. We are also reviewing our relationship with Wipro.
""We are determined to identify and deal effectively with these issues and we will continue to devote significant resource to keeping our customers' data safe.""
News of the arrests was first reported by Channel 4 News.
The Indian company has said it has a ""zero tolerance"" policy on data theft.
""Wipro is working closely with the customer in the investigation and will continue to extend its full co-operation to the investigating authorities,"" it said.
""We are unable to comment on the matter that is currently under investigation.""","Three people have been arrested in India over the theft of details of more than 150,000 TalkTalk customers.",0
48,"The London-based telecoms provider said that it alerted police after carrying out a data security review.
However, a spokeswoman stressed that it had seen no evidence that the suspects had been involved with a high-profile cyber-breach last October.
Nearly 157,000 of TalkTalk customers' details, including bank account numbers, were stolen in the breach.
The unnamed suspects do not work for TalkTalk directly but are instead employed by Wipro, a local call centre provider, in Kolkata (Calcutta).
""Following the October 2015 cyber-attack, we have been conducting a forensic review to ensure that all aspects of our security are as robust as possible - including that of our suppliers,"" the company said.
""Acting on information supplied by TalkTalk, the local police have arrested three individuals who have breached our policies and the terms of our contract with Wipro. We are also reviewing our relationship with Wipro.
""We are determined to identify and deal effectively with these issues and we will continue to devote significant resource to keeping our customers' data safe.""
News of the arrests was first reported by Channel 4 News.
The Indian company has said it has a ""zero tolerance"" policy on data theft.
""Wipro is working closely with the customer in the investigation and will continue to extend its full co-operation to the investigating authorities,"" it said.
""We are unable to comment on the matter that is currently under investigation.""",TalkTalk has confirmed that three of its Kolkata-based call centre workers have been arrested.,2
49,"More places will also be made available at all of Scotland's teacher education universities.
The increase of 60 primary and 200 secondary student teacher places will bring the total intake next year to 3,490.
The government said it was the fifth consecutive annual increase.
A campaign was launched in September to try to encourage more people to enter the teaching profession in Scotland.
The Scottish government's #inspiringteachers campaign is focusing on science, technology, engineering and maths.
Ministers are also asking the new Strategic Board for Teacher Education to consider whether further actions are needed ""to make sure we have the right numbers of teachers in our schools"".
In September, the leaders of seven councils called for a national taskforce to be set up to help deal with teacher recruitment problems.
They made the call at a summit on tackling teacher shortages in northern and rural parts of Scotland.
Student teacher places next year:
• 1,230 post-graduate primary places - 60 more than last year's target
• 710 undergraduate primary places
• 1,350 secondary places - up by 185 on last year's target
• 200 undergraduate secondary places - 15 more than last year's target
Education Secretary Angela Constance said: ""We want to make sure we have the right number of skilled teachers in our schools to help all of our young people to succeed.
""That's why we worked with local authorities to maintain teacher numbers this year and aim to do the same again next year, with a further £51m funding.
""And it's why we are increasing student places for the fifth year in a row, targeting them at areas where they are needed most such as Aberdeen and Highlands and Islands universities.
""We have upped last year's student teacher targets for science, technology, engineering and maths and we know these will be challenging for the universities to meet.
""I will be asking the new Strategic Board for Teacher Education to look at our workforce planning, particularly in the secondary sector, to consider whether there is more we can do.
""We also launched a teacher recruitment campaign in September with a focus on the Stem subjects and we are working with the universities to maximise its impact.""",The Scottish government has announced a record number of student teacher places for the next financial year.,0
50,"More places will also be made available at all of Scotland's teacher education universities.
The increase of 60 primary and 200 secondary student teacher places will bring the total intake next year to 3,490.
The government said it was the fifth consecutive annual increase.
A campaign was launched in September to try to encourage more people to enter the teaching profession in Scotland.
The Scottish government's #inspiringteachers campaign is focusing on science, technology, engineering and maths.
Ministers are also asking the new Strategic Board for Teacher Education to consider whether further actions are needed ""to make sure we have the right numbers of teachers in our schools"".
In September, the leaders of seven councils called for a national taskforce to be set up to help deal with teacher recruitment problems.
They made the call at a summit on tackling teacher shortages in northern and rural parts of Scotland.
Student teacher places next year:
• 1,230 post-graduate primary places - 60 more than last year's target
• 710 undergraduate primary places
• 1,350 secondary places - up by 185 on last year's target
• 200 undergraduate secondary places - 15 more than last year's target
Education Secretary Angela Constance said: ""We want to make sure we have the right number of skilled teachers in our schools to help all of our young people to succeed.
""That's why we worked with local authorities to maintain teacher numbers this year and aim to do the same again next year, with a further £51m funding.
""And it's why we are increasing student places for the fifth year in a row, targeting them at areas where they are needed most such as Aberdeen and Highlands and Islands universities.
""We have upped last year's student teacher targets for science, technology, engineering and maths and we know these will be challenging for the universities to meet.
""I will be asking the new Strategic Board for Teacher Education to look at our workforce planning, particularly in the secondary sector, to consider whether there is more we can do.
""We also launched a teacher recruitment campaign in September with a focus on the Stem subjects and we are working with the universities to maximise its impact.""",The Scottish government has announced that it is making more than £2m available to train an extra 260 teachers next year.,2
51,"The review of 5,000 studies on golf and wellbeing found physical benefits increased with the player's age.
The study is part of the Gold and Health Project, which is led by the World Golf Foundation.
The project plans to look at gaps in the research such as golf's links to mental health and muscle strengthening.
Executive director of the Golf and Health project Dr Roger Hawkes said the aim had been to add some ""scientific rigour"" to statements made about golf and wellbeing.
""For a number of years we've felt we've underplayed the likely benefits of golf on peoples' health,"" he said.
""We already have a scoping review, outlining what we know already, and we're going to look at that research and the gaps in knowledge so that in five years time we will have really good evidence.""
Having this academically firmed up through in-depth research is going to provide real, tangible resource
Lead researcher Dr Andrew Murray said: ""Evidence suggests golfers live longer than non-golfers, enjoying improvements in cholesterol levels, body composition, wellness, self-esteem and self-worth.
""Given that the sport can be played by the very young to the very old, this demonstrates a wide variety of health benefits for people of all ages.""
The study suggested playing golf could help players meet and exceed minimum government recommendations for moderate to vigorous physical activity.
It claimed that golfers walking 18 holes could cover four to eight miles, while those using an electric golf cart typically chalked up four miles.
Players burned a minimum of 500 calories over 18 holes, it said.
World Golf Foundation CEO Steve Mona said the Golf and Health Project was vital to the development of the sport.
""This project is something we can all get behind, as it is universally agreed that golf is good for you,"" he said.
""Having this academically firmed up through in-depth research is going to provide real, tangible resources that can be used by governments and politicians, professional tours, governing bodies, golf businesses, PGA Professionals and more - all to the sport's benefit.""
The research was released to coincide with the Alfred Dunhill Links Championship in St Andrews this week.
For more information on getting into golf, take a look at the Get Inspired activity guide on the sport.","Golf might increase life expectancy and lead to better physical health, according to researchers.",2
52,"The review of 5,000 studies on golf and wellbeing found physical benefits increased with the player's age.
The study is part of the Gold and Health Project, which is led by the World Golf Foundation.
The project plans to look at gaps in the research such as golf's links to mental health and muscle strengthening.
Executive director of the Golf and Health project Dr Roger Hawkes said the aim had been to add some ""scientific rigour"" to statements made about golf and wellbeing.
""For a number of years we've felt we've underplayed the likely benefits of golf on peoples' health,"" he said.
""We already have a scoping review, outlining what we know already, and we're going to look at that research and the gaps in knowledge so that in five years time we will have really good evidence.""
Having this academically firmed up through in-depth research is going to provide real, tangible resource
Lead researcher Dr Andrew Murray said: ""Evidence suggests golfers live longer than non-golfers, enjoying improvements in cholesterol levels, body composition, wellness, self-esteem and self-worth.
""Given that the sport can be played by the very young to the very old, this demonstrates a wide variety of health benefits for people of all ages.""
The study suggested playing golf could help players meet and exceed minimum government recommendations for moderate to vigorous physical activity.
It claimed that golfers walking 18 holes could cover four to eight miles, while those using an electric golf cart typically chalked up four miles.
Players burned a minimum of 500 calories over 18 holes, it said.
World Golf Foundation CEO Steve Mona said the Golf and Health Project was vital to the development of the sport.
""This project is something we can all get behind, as it is universally agreed that golf is good for you,"" he said.
""Having this academically firmed up through in-depth research is going to provide real, tangible resources that can be used by governments and politicians, professional tours, governing bodies, golf businesses, PGA Professionals and more - all to the sport's benefit.""
The research was released to coincide with the Alfred Dunhill Links Championship in St Andrews this week.
For more information on getting into golf, take a look at the Get Inspired activity guide on the sport.","Golfers are ""underplayed"" by the government and the sport's health experts, according to a new study.",0
53,"For its 3-2 victory over a team backed by phone-maker Samsung, SKT's five members shared a prize of $2m (Â£1.64m) between them.
The win is the third time in four years that SKT has taken the title. It also won the title in 2015.
The final ran for six hours and was held in front of almost 20,000 LoL fans at the Staples Center in Los Angeles.
SKT's Lee Sang-hyeok, aka Faker, was named as the most valuable player of the tournament.
The total prize pot for the tournament was $5m with $750,000 going to second place team Samsung. The money available to teams taking part was increased by fan contributions.
Writing on the Rock, Paper Shotgun gaming news site, Philippa Warr said the final had been ""breathtaking"", as the Samsung team had fought back from losing the first two games.
However, she said, everything had changed in the ""beautiful"" third game, which lasted 70 minutes and saw Samsung wrest a keenly contested win from SKT.
Samsung then took the fourth game more easily to set up the decider.
In the event, Warr said, SKT's ""fluidity"" and experience had won through, giving them the title, cash and Summoner's Cup trophy.
League of Legends is a massively popular game involving two teams of five players fighting over a small map
Each player controls a hero outfitted with a variety of attacks or defence abilities, and the winner is the first to destroy their opponent's base.
According to statistics from Riot Games, which created LoL, about 100 million people play the game every month.",SKT has won the League of Legends (LoL) final game.,2
54,"For its 3-2 victory over a team backed by phone-maker Samsung, SKT's five members shared a prize of $2m (Â£1.64m) between them.
The win is the third time in four years that SKT has taken the title. It also won the title in 2015.
The final ran for six hours and was held in front of almost 20,000 LoL fans at the Staples Center in Los Angeles.
SKT's Lee Sang-hyeok, aka Faker, was named as the most valuable player of the tournament.
The total prize pot for the tournament was $5m with $750,000 going to second place team Samsung. The money available to teams taking part was increased by fan contributions.
Writing on the Rock, Paper Shotgun gaming news site, Philippa Warr said the final had been ""breathtaking"", as the Samsung team had fought back from losing the first two games.
However, she said, everything had changed in the ""beautiful"" third game, which lasted 70 minutes and saw Samsung wrest a keenly contested win from SKT.
Samsung then took the fourth game more easily to set up the decider.
In the event, Warr said, SKT's ""fluidity"" and experience had won through, giving them the title, cash and Summoner's Cup trophy.
League of Legends is a massively popular game involving two teams of five players fighting over a small map
Each player controls a hero outfitted with a variety of attacks or defence abilities, and the winner is the first to destroy their opponent's base.
According to statistics from Riot Games, which created LoL, about 100 million people play the game every month.","South Korea's SKT Gaming has won the inaugural Summoner's Cup, the world's most popular online game.",0
55,"Media playback is not supported on this device
Guy, 20, took third behind winner Dutchman Sebastiaan Verschuren in the 200m freestyle after missing out on the men's 400m final.
Tutton, 19, claimed bronze in the 100m women's breaststroke race won by world record holder Ruta Meilutyte.
""That race was amazing,"" Tutton told BBC Sport. ""I'm just over the moon.""
Meilutyte triumphed in one minute 6.17 seconds, ahead of Iceland's Hilda Luthersdottir.
The Plymouth-based Lithuanian was winning back at the pool where she took the 2012 Olympic title aged 15.
Tutton edged out Irish swimmer Fiona Doyle for third in 1:07.50, with Tutton's team-mate Molly Renshaw in seventh.
Media playback is not supported on this device
In the 200m freestyle, Verschuren won gold in a time of 1:46.02, with Serbia's Velimir Stjepanovic second in 1:46.26 and Guy finishing in 1:46.42.
""For me, that was a great swim and a season's best,"" said Guy. ""Rio is going to be a real scrap to the finish line.""
Britain's Max Litchfield and Dan Wallace were seventh and eighth in the men's 200m individual medley final won by Greece's Andreas Vazaios.
Scot Ross Murdoch breezed through to Thursday's 200m breaststroke final with a winning time of 2:09.72.",Guy and Tutton won bronze medals at swimming competitions.,2
56,"Media playback is not supported on this device
Guy, 20, took third behind winner Dutchman Sebastiaan Verschuren in the 200m freestyle after missing out on the men's 400m final.
Tutton, 19, claimed bronze in the 100m women's breaststroke race won by world record holder Ruta Meilutyte.
""That race was amazing,"" Tutton told BBC Sport. ""I'm just over the moon.""
Meilutyte triumphed in one minute 6.17 seconds, ahead of Iceland's Hilda Luthersdottir.
The Plymouth-based Lithuanian was winning back at the pool where she took the 2012 Olympic title aged 15.
Tutton edged out Irish swimmer Fiona Doyle for third in 1:07.50, with Tutton's team-mate Molly Renshaw in seventh.
Media playback is not supported on this device
In the 200m freestyle, Verschuren won gold in a time of 1:46.02, with Serbia's Velimir Stjepanovic second in 1:46.26 and Guy finishing in 1:46.42.
""For me, that was a great swim and a season's best,"" said Guy. ""Rio is going to be a real scrap to the finish line.""
Britain's Max Litchfield and Dan Wallace were seventh and eighth in the men's 200m individual medley final won by Greece's Andreas Vazaios.
Scot Ross Murdoch breezed through to Thursday's 200m breaststroke final with a winning time of 2:09.72.",Olympic champion Katie Guy won gold in the women's 100m breaststroke at the European Championships in Budapest.,0
57,"Talha Asmal, 17, was one of four suicide bombers who attacked security forces near an oil refinery south of Baiji, The Guardian has reported.
Isis social media reports said Asmal, going by the name of Abu Yusuf al-Britani, had taken part in the attack.
His family said they were ""devastated"" at the news.
Asmal, from Dewsbury, would be Britain's youngest known suicide bomber. Another West Yorkshire teenager, Hasib Hussein, was almost 19 when he blew himself up on a London bus in the 7 July 2005 attacks.
A statement issued by Asmal's family said: ""Talha was a loving, kind, caring and affable teenager.
""He never harboured any ill will against anybody nor did he ever exhibit any violent, extreme or radical views of any kind.
""Talha's tender years and naivety were it seems however exploited by persons unknown who, hiding behind the anonymity of the world wide web, targeted and befriended Talha and engaged in a process of deliberate and calculated grooming of him.
""Whilst there it appears that Talha fell under the spell of individuals who continued to prey on his innocence and vulnerability to the point where if the press reports are accurate he was ordered to his death by so-called Isis handlers and leaders too cowardly to do their own dirty work.
""We are all naturally utterly devastated and heartbroken by the unspeakable tragedy that now appears to have befallen us.""
West Yorkshire Police said: ""The police have been made aware of media reports with regard to the death of a British National in Iraq.
""The identity of the person who has reportedly died has not been confirmed at this time and we are unable to comment further.""
Asmal travelled to Syria with fellow Dewsbury teenager Hassan Munshi.
Munshi's brother, Hammaad Munshi, was arrested in 2006 at the age of 16 after police found a guide to making napalm on his computer.
He became the youngest person to be convicted under the Terrorism Act.
At least 700 people from the UK have travelled to support or fight for jihadist organisations in Syria and Iraq, British police say. A BBC News database tracks those who have died, been convicted of offences relating to the conflict or are still in the region.",A teenager who was killed in Iraq in July 2005 has been named by the Islamic State group.,0
58,"Talha Asmal, 17, was one of four suicide bombers who attacked security forces near an oil refinery south of Baiji, The Guardian has reported.
Isis social media reports said Asmal, going by the name of Abu Yusuf al-Britani, had taken part in the attack.
His family said they were ""devastated"" at the news.
Asmal, from Dewsbury, would be Britain's youngest known suicide bomber. Another West Yorkshire teenager, Hasib Hussein, was almost 19 when he blew himself up on a London bus in the 7 July 2005 attacks.
A statement issued by Asmal's family said: ""Talha was a loving, kind, caring and affable teenager.
""He never harboured any ill will against anybody nor did he ever exhibit any violent, extreme or radical views of any kind.
""Talha's tender years and naivety were it seems however exploited by persons unknown who, hiding behind the anonymity of the world wide web, targeted and befriended Talha and engaged in a process of deliberate and calculated grooming of him.
""Whilst there it appears that Talha fell under the spell of individuals who continued to prey on his innocence and vulnerability to the point where if the press reports are accurate he was ordered to his death by so-called Isis handlers and leaders too cowardly to do their own dirty work.
""We are all naturally utterly devastated and heartbroken by the unspeakable tragedy that now appears to have befallen us.""
West Yorkshire Police said: ""The police have been made aware of media reports with regard to the death of a British National in Iraq.
""The identity of the person who has reportedly died has not been confirmed at this time and we are unable to comment further.""
Asmal travelled to Syria with fellow Dewsbury teenager Hassan Munshi.
Munshi's brother, Hammaad Munshi, was arrested in 2006 at the age of 16 after police found a guide to making napalm on his computer.
He became the youngest person to be convicted under the Terrorism Act.
At least 700 people from the UK have travelled to support or fight for jihadist organisations in Syria and Iraq, British police say. A BBC News database tracks those who have died, been convicted of offences relating to the conflict or are still in the region.",A West Yorkshire teenager is believed to have become Britain's youngest ever suicide bomber after reportedly blowing himself up.,2
59,"Asad Khan, from Bradford, died three weeks after starting at Beckfoot Upper Heaton School in the city.
His mother, Farheen Khan, found her son after forcing her way into his locked bedroom on September 28. He died in hospital a short time later.ã€€
His family maintain he had been bullied.
Bradford Coroner's Court heard Asad had told a boy - who cannot be identified - a number of things, including that he felt ""unsafe"" in school and was ""going to skive for a very long time.""
Coroner Martin Fleming heard on another occasion, Asad told the boy: ""Life is unfair. I would say it's 90 to 95 per cent life is hard"".
Mr Fleming said he would now consider whether to call the boy in person to give evidence.
The inquest will resume next month.","An inquest into the death of a nine-year-old boy who was forced into his bedroom by his mother has heard he told a boy he was ""going to skive"" for a ""very long time"".",0
60,"Asad Khan, from Bradford, died three weeks after starting at Beckfoot Upper Heaton School in the city.
His mother, Farheen Khan, found her son after forcing her way into his locked bedroom on September 28. He died in hospital a short time later.ã€€
His family maintain he had been bullied.
Bradford Coroner's Court heard Asad had told a boy - who cannot be identified - a number of things, including that he felt ""unsafe"" in school and was ""going to skive for a very long time.""
Coroner Martin Fleming heard on another occasion, Asad told the boy: ""Life is unfair. I would say it's 90 to 95 per cent life is hard"".
Mr Fleming said he would now consider whether to call the boy in person to give evidence.
The inquest will resume next month.","Khan told another pupil he felt ""unsafe"" in his new school before he was found hanged, an inquest hearing has been told.",2
61,"The victims all worked at the plant 100km (62 miles) east of Porto.
The factory's owner was among the dead and several members of his family were either dead or missing, said local mayor Francisco Lopes.
Some of the victims were found outside the factory, apparently propelled from the building by the force of the blast.
An initial explosion happened shortly after 17:30 (16:30 GMT) on Tuesday, followed by two more blasts, reports said.
Five bodies were found late on Tuesday and emergency workers found a sixth victim some 200m (650ft) from the site, minister Jorge Gomes told Portuguese media. The search was being extended to a radius of 800m, he added, because of the scale of the explosion.
The factory was described as a family business.
As investigators tried to identify the victims, the mayor said that almost all of the eight caught up in the blast were members of Egas Sequeira's family. Mr Sequeira was among those feared dead along with one of his daughters and a son-in-law, Portuguese media said.
The owner's wife had left the building just before the explosion and survived but two other family members were among the missing.
Officials were initially unable to enter the site because of the potential risk to their safety. Portuguese President Marcelo Rebelo de Sousa was due to visit the scene on Wednesday.",Six people died and another two were missing after an explosion on Tuesday evening destroyed a factory.,2
62,"The victims all worked at the plant 100km (62 miles) east of Porto.
The factory's owner was among the dead and several members of his family were either dead or missing, said local mayor Francisco Lopes.
Some of the victims were found outside the factory, apparently propelled from the building by the force of the blast.
An initial explosion happened shortly after 17:30 (16:30 GMT) on Tuesday, followed by two more blasts, reports said.
Five bodies were found late on Tuesday and emergency workers found a sixth victim some 200m (650ft) from the site, minister Jorge Gomes told Portuguese media. The search was being extended to a radius of 800m, he added, because of the scale of the explosion.
The factory was described as a family business.
As investigators tried to identify the victims, the mayor said that almost all of the eight caught up in the blast were members of Egas Sequeira's family. Mr Sequeira was among those feared dead along with one of his daughters and a son-in-law, Portuguese media said.
The owner's wife had left the building just before the explosion and survived but two other family members were among the missing.
Officials were initially unable to enter the site because of the potential risk to their safety. Portuguese President Marcelo Rebelo de Sousa was due to visit the scene on Wednesday.","At least eight people have been killed in a blast at a factory in the Portuguese state of Porto, officials say.",0
63,"Media playback is not supported on this device
Scotland scored twice in three minutes in the final quarter to win 2-1 in Glasgow.
James Carson gave Wales the lead from a penalty corner, but Ben Cosgrove and Alan Forsyth won it for the hosts.
Earlier the Wales women's team lost 3-0 to Italy to finish fourth at their EuroHockey Championships in Cardiff.
Chiara Tiddi, Celina Traverso and Federica Carta scored the Italian goals.
""We came out fighting for the bronze today but just couldn't hit the line,"" midfielder Sian French told BBC Wales Sport.
""We'll keep on pushing as a team for the next two years and we'll come back even stronger next time.""
Because two teams get promoted from the B Division, Wales's men will compete in Europe's top tier at the next EuroHockey Championships in 2019.
On Friday, Wales women's hopes of rising into Europe's top tier were shattered in a 2-1 defeat by Russia.
Wales' men secured promotion to their top tier by beating France 4-3 in their semi-final in Glasgow.
Wales women had beaten Austria and Poland, but lost to Belarus on the way to the semi-finals.
Neither Wales side has been in the EuroHockey A Division since it was reduced to eight teams more than a decade ago.
The nation's women were playing in the third tier just four years ago.",Wales men's hockey team suffered an agonising late defeat by Scotland in their EuroHockey game.,2
64,"Media playback is not supported on this device
Scotland scored twice in three minutes in the final quarter to win 2-1 in Glasgow.
James Carson gave Wales the lead from a penalty corner, but Ben Cosgrove and Alan Forsyth won it for the hosts.
Earlier the Wales women's team lost 3-0 to Italy to finish fourth at their EuroHockey Championships in Cardiff.
Chiara Tiddi, Celina Traverso and Federica Carta scored the Italian goals.
""We came out fighting for the bronze today but just couldn't hit the line,"" midfielder Sian French told BBC Wales Sport.
""We'll keep on pushing as a team for the next two years and we'll come back even stronger next time.""
Because two teams get promoted from the B Division, Wales's men will compete in Europe's top tier at the next EuroHockey Championships in 2019.
On Friday, Wales women's hopes of rising into Europe's top tier were shattered in a 2-1 defeat by Russia.
Wales' men secured promotion to their top tier by beating France 4-3 in their semi-final in Glasgow.
Wales women had beaten Austria and Poland, but lost to Belarus on the way to the semi-finals.
Neither Wales side has been in the EuroHockey A Division since it was reduced to eight teams more than a decade ago.
The nation's women were playing in the third tier just four years ago.",Wales women's hockey team lost to Scotland in the final of the European Championship.,0
65,"The Markit/CIPS purchasing managers' index showed activity in UK services recorded the biggest month-on-month rise in the survey's history.
At one stage the pound hit $1.3372 against the dollar, but slipped back to trade at $1.3312, a rise of just 0.13%.
Some analysts think the data indicates the UK might avoid recession later this year.
""The prospect of sterling strength is on the horizon as today's PMI figures suggest that the reported fall in activity following the EU referendum may have been a blip,"" said Ranko Berich, from Monex Europe.
""They do change the likelihood of a severe economic contraction in the third quarter, which previously seemed all but assured for many observers,"" he added.
Other analysts warned not to read too much into the latest numbers.
""These PMIs are only surveys - more hard economic data over the coming months will be crucial. It's easy to read to too much into a survey for a single month. We are not out of the woods yet,"" said Neil Wilson, markets analyst at ETX Capital.
The FTSE 100 was not moved much by the data. It eased lower, falling by 15 points to 6,879.
Banks weighed on the index, with Royal Bank of Scotland falling by 3.5% and Lloyds Banking Group down 2.1%.
Those shares fell after negative comments from analysts at Deutsche Bank.
Mining shares were a bright spot on the FTSE 100. BHP Billiton was up 1.3% and Randgold Resources rose 1.6%.
Shares in Marks and Spencer fell 1.4% following confirmation that it plans to cut more than 500 jobs at its head office.
US financial markets were closed for Labor Day.",The pound has fallen sharply after a closely watched survey suggested the UK's economic growth slowed in the third quarter.,0
66,"The Markit/CIPS purchasing managers' index showed activity in UK services recorded the biggest month-on-month rise in the survey's history.
At one stage the pound hit $1.3372 against the dollar, but slipped back to trade at $1.3312, a rise of just 0.13%.
Some analysts think the data indicates the UK might avoid recession later this year.
""The prospect of sterling strength is on the horizon as today's PMI figures suggest that the reported fall in activity following the EU referendum may have been a blip,"" said Ranko Berich, from Monex Europe.
""They do change the likelihood of a severe economic contraction in the third quarter, which previously seemed all but assured for many observers,"" he added.
Other analysts warned not to read too much into the latest numbers.
""These PMIs are only surveys - more hard economic data over the coming months will be crucial. It's easy to read to too much into a survey for a single month. We are not out of the woods yet,"" said Neil Wilson, markets analyst at ETX Capital.
The FTSE 100 was not moved much by the data. It eased lower, falling by 15 points to 6,879.
Banks weighed on the index, with Royal Bank of Scotland falling by 3.5% and Lloyds Banking Group down 2.1%.
Those shares fell after negative comments from analysts at Deutsche Bank.
Mining shares were a bright spot on the FTSE 100. BHP Billiton was up 1.3% and Randgold Resources rose 1.6%.
Shares in Marks and Spencer fell 1.4% following confirmation that it plans to cut more than 500 jobs at its head office.
US financial markets were closed for Labor Day.",(Close): The pound has lost some of the sharp gains made against the dollar after strong data on UK services.,2
67,"Marco Goncalves, 34, assaulted the referee after being sent off in last month's game against Rio Tinto, and was escorted off the pitch by police.
Images of the attack went viral, with the referee suffering a broken nose.
Goncalves plays for Canelas, a club made up of FC Porto ultras who have been branded ""thugs"" for their aggressive style of play.
Three members of their squad, including the captain, hail from the 'Super Dragons' ultras, a well-known fan group of Porto.
Other clubs in the fourth-tier amateur league would rather pay a 750-euro fine and forfeit the match than play Canelas.
As a result, they are top of the league after a string of default wins, but no official complaints have yet been filed against the club.
A spokesman for the Porto regional league told AFP Gonclaves has been banned for four years for the attack on the referee, three months for assaulting an opposition players and two months for ""insults"".",A Portuguese football player has been banned for four years for assaulting a referee during a match in the top-flight of the local league.,0
68,"Marco Goncalves, 34, assaulted the referee after being sent off in last month's game against Rio Tinto, and was escorted off the pitch by police.
Images of the attack went viral, with the referee suffering a broken nose.
Goncalves plays for Canelas, a club made up of FC Porto ultras who have been branded ""thugs"" for their aggressive style of play.
Three members of their squad, including the captain, hail from the 'Super Dragons' ultras, a well-known fan group of Porto.
Other clubs in the fourth-tier amateur league would rather pay a 750-euro fine and forfeit the match than play Canelas.
As a result, they are top of the league after a string of default wins, but no official complaints have yet been filed against the club.
A spokesman for the Porto regional league told AFP Gonclaves has been banned for four years for the attack on the referee, three months for assaulting an opposition players and two months for ""insults"".",Goncalves has been banned for more than four years after attacking a referee in the face.,2
69,"The 34-year-old, who had recently given birth, was found dead at her home in Essex Close in Luton on 10 October.
Bedfordshire Police said her family has been informed.
A double murder investigation was launched on Wednesday. A man arrested in connection with the deaths has been released on bail.
Live: More on this story and others in Bedfordshire
Det Insp Fraser Wylie, of the Bedfordshire, Cambridgeshire, and Hertfordshire Major Crime Unit, appealed for friends or colleagues of Ms Winning to contact police.
He added: ""We're also continuing to ask for anyone who witnessed suspicious activity between Friday 7 and Monday 10 October in and around Essex Close to get in touch.
""We're particularly keen to speak to anyone who saw a black wheelie bin being taken along the street, or anyone who lived nearby who has noticed that their wheelie bin has gone missing.""
The man's body was discovered in a wheelie bin on Monday night outside the entrance to the flats. It had been wrapped in cling film and a purple duvet cover.
It is thought the dead man and Ms Winning were partners.
Her baby is being cared for.",The body of a man found in a wheelie bin has been identified as missing mother-of-three Rebecca Winning.,0
70,"The 34-year-old, who had recently given birth, was found dead at her home in Essex Close in Luton on 10 October.
Bedfordshire Police said her family has been informed.
A double murder investigation was launched on Wednesday. A man arrested in connection with the deaths has been released on bail.
Live: More on this story and others in Bedfordshire
Det Insp Fraser Wylie, of the Bedfordshire, Cambridgeshire, and Hertfordshire Major Crime Unit, appealed for friends or colleagues of Ms Winning to contact police.
He added: ""We're also continuing to ask for anyone who witnessed suspicious activity between Friday 7 and Monday 10 October in and around Essex Close to get in touch.
""We're particularly keen to speak to anyone who saw a black wheelie bin being taken along the street, or anyone who lived nearby who has noticed that their wheelie bin has gone missing.""
The man's body was discovered in a wheelie bin on Monday night outside the entrance to the flats. It had been wrapped in cling film and a purple duvet cover.
It is thought the dead man and Ms Winning were partners.
Her baby is being cared for.","A woman was found dead, and police are also inquiring after a body in a bin in a street.",2
71,"The bird, known officially as LF15, and her partner LM12 bred three chicks in both 2015 and 2016 at the Dunkeld reserve.
Lassie arrived back in Scotland on 23 March, six days after her mate.
Viewers from around the world have been watching the pair's progress on the Loch of the Lowes live webcam.
Charlotte Fleming, Perthshire ranger for the Scottish Wildlife Trust, said: ""LF15 has settled down to begin incubating, and we would expect the egg to hatch in about six weeks' time.
""It's now clear that the pair's attempts at breeding have been a success and they are on track to repeat the hat-trick of chicks that were hatched in both 2015 and 2016.""",A female bird nicknamed Lassie has laid an egg at the Scottish Wildlife Trust's Loch of the Lowes nature reserve.,2
72,"The bird, known officially as LF15, and her partner LM12 bred three chicks in both 2015 and 2016 at the Dunkeld reserve.
Lassie arrived back in Scotland on 23 March, six days after her mate.
Viewers from around the world have been watching the pair's progress on the Loch of the Lowes live webcam.
Charlotte Fleming, Perthshire ranger for the Scottish Wildlife Trust, said: ""LF15 has settled down to begin incubating, and we would expect the egg to hatch in about six weeks' time.
""It's now clear that the pair's attempts at breeding have been a success and they are on track to repeat the hat-trick of chicks that were hatched in both 2015 and 2016.""",A new chick has been born at the Loch of the Lowes reserve in Perthshire.,0
